"Time","UtilPercent","MemoryMiB","PowerWatts","PState","SMClockMHz","TemperatureC","WindowsComputeEngine"
"2026/08/12 17:22:07.744","0","1189","12,97","P8","37","49",""
"2026/08/12 17:22:15.580","0","1189","12,2","P8","8","49",""
"2026/08/12 17:22:21.040","7","1676","21,61","P0","556","51",""
"2026/08/12 17:22:26.402","5","2084","24,62","P0","1424","52",""
"2026/08/12 17:22:30.726","100","2426","92,57","P0","1977","60",""
"2026/08/12 17:22:36.919","100","3235","93,12","P0","1968","62",""
"2026/08/12 17:22:42.154","100","3487","90,24","P0","1969","63",""
"2026/08/12 17:22:47.109","100","4167","81,93","P0","1973","63",""
"2026/08/12 17:22:51.967","100","4167","94,1","P0","1968","65",""
"2026/08/12 17:22:56.770","100","4167","93,91","P0","1955","66",""
"2026/08/12 17:23:01.430","100","4167","94,23","P0","1954","66",""
"2026/08/12 17:23:06.110","0","4167","20,05","P3","225","58",""
"2026/08/12 17:23:10.745","0","4167","12,59","P8","15","55",""
"2026/08/12 17:23:15.380","0","4167","12,48","P8","8","54",""
