case_id,shape,dice_pancreas,iou_pancreas,dice_tumor,iou_tumor,pred_tumor_voxels,true_tumor_voxels,has_tumor_true,has_tumor_pred
case_0001.nii,"[512, 512, 110]",1.0,1.0,1.0,1.0,26153,26153,True,True
case_0002.nii,"[512, 512, 110]",1.0,1.0,1.0,1.0,26153,26153,True,True
case_0003.nii,"[512, 512, 107]",1.0,1.0,1.0,1.0,28448,28448,True,True
case_0004.nii,"[512, 512, 104]",1.0,1.0,1.0,1.0,3609,3609,True,True
case_0005.nii,"[512, 512, 101]",1.0,1.0,1.0,1.0,9244,9244,True,True
case_0006.nii,"[512, 512, 174]",1.0,1.0,1.0,1.0,53193,53193,True,True
case_0007.nii,"[512, 512, 97]",1.0,1.0,1.0,1.0,8475,8475,True,True
case_0008.nii,"[512, 512, 87]",1.0,1.0,1.0,1.0,6115,6115,True,True
case_0009.nii,"[512, 512, 85]",1.0,1.0,1.0,1.0,6668,6668,True,True
case_0010.nii,"[512, 512, 87]",1.0,1.0,1.0,1.0,7482,7482,True,True
case_0011.nii,"[512, 512, 85]",1.0,1.0,1.0,1.0,3287,3287,True,True
case_0012.nii,"[512, 512, 93]",1.0,1.0,1.0,1.0,5700,5700,True,True
case_0013.nii,"[512, 512, 105]",1.0,1.0,1.0,1.0,15672,15672,True,True
case_0014.nii,"[512, 512, 75]",1.0,1.0,1.0,1.0,6556,6556,True,True
case_0015.nii,"[512, 512, 83]",1.0,1.0,1.0,1.0,1248,1248,True,True
case_0016.nii,"[512, 512, 99]",1.0,1.0,1.0,1.0,1167,1167,True,True
case_0017.nii,"[512, 512, 89]",1.0,1.0,1.0,1.0,1880,1880,True,True
case_0018.nii,"[512, 512, 73]",1.0,1.0,1.0,1.0,6002,6002,True,True
case_0019.nii,"[512, 512, 71]",1.0,1.0,1.0,1.0,5418,5418,True,True
case_0020.nii,"[512, 512, 45]",1.0,1.0,1.0,1.0,2839,2839,True,True
case_0021.nii,"[512, 512, 137]",1.0,1.0,1.0,1.0,2112,2112,True,True
case_0022.nii,"[512, 512, 51]",1.0,1.0,1.0,1.0,7367,7367,True,True
case_0023.nii,"[512, 512, 39]",1.0,1.0,1.0,1.0,2592,2592,True,True
case_0024.nii,"[512, 512, 41]",1.0,1.0,1.0,1.0,2923,2923,True,True
case_0025.nii,"[512, 512, 103]",1.0,1.0,1.0,1.0,5422,5422,True,True
